Classe;Qte;Stock;Reference;Designation;NbSem;EntreeMoy;CoutCumul
  4;  533;CHRONO PROJETS INFRASTRUCTURE;CHR73NP0H5;CORDON SURMOULE BLEU RJ45  FTP CAT6E 4P 100 OHMS DE 1M; 331;2015-07-06; 10343.16 E
  4; 1031;CHRONO PROJETS INFRASTRUCTURE;CHR70NP0O7;RALLONGE USB2 A-A MALE-FEMELLE 5M; 147;2019-01-09;  8885.34 E
  4;  596;CHRONO PROJETS INFRASTRUCTURE;CHR40NP1EY;CARTE INTEL ETHERNET I210-T1 PCIe x1 Gb NIC; 167;2018-08-27;  5729.17 E
  3;  165;COLI SHIPPING;CLP34NS1AI;IMPRIMANTE DATAMAX M-4206E DT MARK II; 120;2019-07-16;  5698.55 E
  3;  253;CHRONO SHIPPING;CHR34RS19M;PM43C TOUCH SCREEN STANDARD for SHIPPING;  66;2020-07-31;  4805.78 E
  3;  365;CHRONO PROJETS INFRASTRUCTURE;CHR99NP1B5;PASSE-CABLES PEIGNE;  82;2020-04-11;  4737.71 E
  4;   54;CHRONO SHIPPING;CHR22RSZYQ;ECRAN 17" TFT RECYCLE ACHETE; 297;2016-02-29;  4615.82 E
  4;  265;CHRONO PROJETS INFRASTRUCTURE;CHR70NP1EF;Uniformatic câble USB 3 m pour PM43C; 231;2017-06-01;  3523.60 E
  4;  514;CHRONO PROJETS INFRASTRUCTURE;CHR58NP1ET;BARRE DE SON HP LCD; 146;2019-01-17;  3239.71 E
  3;  105;CHRONO SHIPPING;CHR34RS0IT;IMPRIMANTE THERM. PF4 RESEAU RECYCLE;  98;2019-12-19;  2961.52 E
  3;  352;CHRONO PROJETS INFRASTRUCTURE;CHR77NP06D;CABLE ALIMENTATION SECTEUR NOIR DE 5M; 143;2019-02-10;  2951.05 E
  4;   35;CHRONO FIL DE L'EAU;CHR39RF1A3;MS812DE BAC SUPPLEMENTAIRE; 147;2019-01-08;  2665.37 E
  3;  807;CHRONO PROJETS INFRASTRUCTURE;CHR76NP1HG;Câble DisplayPort mâle/mâle 3M;  49;2020-11-28;  2318.29 E
  3;   91;CHRONO FIL DE L'EAU;CHR10NF1HW;UC HP PRODESK 600 G5 i5 16GB 256SSD W10;  81;2020-04-20;  2121.41 E
  3;  418;CHRONO PROJETS INFRASTRUCTURE;CHR73NP0OA;CORDON SURMOULE RJ45 FTP CAT.6 DROIT 100 OHMS DE 5M;  85;2020-03-21;  2083.02 E
  4;  219;CHRONO PROJETS INFRASTRUCTURE;CHR73NP0HN;CORDON SURMOULE BLEU RJ45  FTP CAT6E 4P 100 OHMS DE 3M; 162;2018-09-30;  2079.97 E
  4;   43;CHRONO FIL DE L'EAU;CHR39NF1A3;MS812DE BAC SUPPLEMENTAIRE; 154;2018-11-26;  1905.85 E
  4;   78;CHRONO INCIDENT;CHR74NF006;CABLE POUR ANTENNE BORNE WIFI DE 10M; 371;2014-09-26;  1665.70 E
  3;  176;CHRONO PROJETS INFRASTRUCTURE;CHR43NP1AU;SWITCH CATALYST 2960-X 24PS-L LAN Base;  55;2020-10-14;  1532.28 E
