Numéro Série;Désignation;Site;Code Postal;Ville;Dossier GLPI;Date Expédition
czc0327m0t;UC HP PRODESK 600 G5 i5 16GB 256SSD Freedos;EXPRESS CENTRE MONTMARAULT;03390;MONTMARAULT;2102020535;2021-02-09
czc85181km;UC RECYCLE + CARTE WIFI FORMATE PMC LINUX;CHRONOPOST GAP;05000;LA ROCHETTE;2106100608;2021-07-01
czc7357fwt;UC RECYCLE + CARTE WIFI FORMATE PMC LINUX;CHRONOPOST SOPHIA ANTIPOLIS;06906;SOPHIA ANTIPOLIS;2005110751;2020-05-14
czc7357fr0;UC RECYCLE + CARTE WIFI FORMATE PMC LINUX;KM TRANSPORTS;07200;AUBENAS;2102230098;2021-02-23
czc85183fs;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc851849y;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184b2;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184bd;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184bk;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184bl;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184bx;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184by;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184c7;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184d7;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184d9;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184ks;UC WIFI FORMATE PMC LINUX;CHRONOPOST TROYES;10300;SAINTE SAVINE;20022000565;2020-02-24
czc85184l6;UC HP PRODESK 600 G4 i5 16GB 256SSD PC FREEDOS;CHRONOPOST TROYES;10300;SAINTE SAVINE;2110220717;2021-10-28
