Retour;NumSérie;Référence;Désignation
2021-10-27;3FXWMK2;TLT10RF1DF;UC DELL OPTIPLEX CHR 3040SFF
2021-11-02;5CG0276WVT;CHR11RF1HD;PORTABLE HP Elitebook 840 G6 - i5 - 256Gb SSD - 16GB
2021-10-14;5CG1184R1B;CHR11RF1JP;Portable HP Elitebook Recyclé 840 G8 - 14" - Core Is5 1135G7 - 16Go RAM 512  GO SSD
2021-10-15;5CG7430LV8;CHR11RF1FC;PORTABLE HP ELITEBOOK 840 G4 i5- 256GB- 8 GB RECYCLE
2021-11-09;5CG8290NBH;CHR11RF1FC;PORTABLE HP ELITEBOOK 840 G4 i5- 256GB- 8 GB RECYCLE
2021-10-14;5CG8290NDH;CHR11RF1FC;PORTABLE HP ELITEBOOK 840 G4 i5- 256GB- 8 GB RECYCLE
2021-10-15;5CG8290NHZ;CHR11RF1FC;PORTABLE HP ELITEBOOK 840 G4 i5- 256GB- 8 GB RECYCLE
2021-10-15;5CG851B66K;CHR11RF1GA;PORTABLE HP EliteBook 840 G5 - i5 - 256Go SSD - 16GB
2021-10-27;5CG9381457;CHR11RF1GA;PORTABLE HP EliteBook 840 G5 - i5 - 256Go SSD - 16GB
2021-10-29;5CG9411BTX;CHR11RF1HD;PORTABLE HP Elitebook 840 G6 - i5 - 256Gb SSD - 16GB
2021-10-12;CY7DCC2;CHR10RF1C3;UC DELL OPTIPLEX CHR 3020SFF
2021-10-22;CZC7317QM1;CHR10RF1F4;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC FREEDOS  + CARTE WIFI RECYCLE
2021-10-19;CZC7317QNJ;CHR10RF1F4;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC FREEDOS  + CARTE WIFI RECYCLE
2021-10-29;CZC7318Z17;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE
2021-11-04;CZC7357FNC;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE
2021-10-29;CZC7357FSN;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE
2021-10-29;CZC7388NF1;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE
2021-10-29;CZC7388NK9;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE
2021-10-29;CZC7388NMY;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE
2021-10-22;CZC7388NRH;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE
2021-10-19;CZC8268RGR;CHR10RFSTT;UC CHR DELOC RECYCLE
2021-10-12;CZC8277DQP;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE
2021-10-15;CZC8277DRB;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE
2021-10-22;CZC85181L9;CHR10RF1GH;UC HP PRODESK 600 G4 i5 16GB 256SSD PC FREEDOS
2021-10-20;CZC85184M9;CHR10RF1GH;UC HP PRODESK 600 G4 i5 16GB 256SSD PC FREEDOS
2021-10-12;HXH44J2;CHR10RF1DF;UC DELL OPTIPLEX CHR 3040SFF
2021-11-02;HYN54J2;CHR10RF1DF;UC DELL OPTIPLEX CHR 3040SFF
2021-10-12;J1LPQ92;CHR10RF1DF;UC DELL OPTIPLEX CHR 3040SFF
2021-10-22;J1LSF82;CHR10RF1DF;UC DELL OPTIPLEX CHR 3040SFF
2021-10-15;J1M38C2;CHR10RF1DF;UC DELL OPTIPLEX CHR 3040SFF
2021-10-27;J1N8Z72;CHR10RF1DF;UC DELL OPTIPLEX CHR 3040SFF
2021-10-15;NXG55EF0016121127E7600;CHR12RF1CR;CHROMEBOOK ACER C738T C3YL
2021-10-26;NXG55EF0016121134D7600;CHR12RF1CR;CHROMEBOOK ACER C738T C3YL
2021-10-15;NXG55EF001612113597600;CHR12RF1CR;CHROMEBOOK ACER C738T C3YL
2021-10-26;NXG55EF00964909AC97600;CHR12RF1CR;CHROMEBOOK ACER C738T C3YL
2021-10-22;NXG55EF009729068D67600;CHR12RF1CR;CHROMEBOOK ACER C738T C3YL
2021-10-26;PC0H06NQ;CHR11RF1D7;LENOVO PORTABLE T460 RECYCLE
