Site;CP;Ville;Nb;Premier;Dernier
EXPRESS CENTRE MONTMARAULT;03390;MONTMARAULT;  1;2021-02-09;2021-02-09
CHRONOPOST GAP;05000;LA ROCHETTE;  1;2021-07-01;2021-07-01
CHRONOPOST SOPHIA ANTIPOLIS (SIA) VALBONNE;06560;VALBONNE;  1;2021-09-28;2021-09-28
CHRONOPOST SOPHIA ANTIPOLIS;06906;SOPHIA ANTIPOLIS;  1;2020-05-14;2020-05-14
KM TRANSPORTS;07200;AUBENAS;  2;2019-08-06;2021-02-23
CHRONOPOST TROYES;10300;SAINTE SAVINE; 17;2020-02-24;2021-10-28
MOTO EXPRESS;11000;CARCASSONNE;  2;2021-04-28;2021-05-18
SCOOP MOTO EXPRESS;11000;CARCASSONNE;  1;2020-11-24;2020-11-24
CHRONOPOST NARBONNE;11100;MONTREDON DES CORBIERES; 19;2020-02-17;2021-09-02
CCM EXPRESS;12160;BARAQUEVILLE;  1;2021-03-04;2021-03-04
CHRONOPOST MARSEILLE CENTRE;13002;MARSEILLE;  3;2020-06-04;2020-11-18
ZEBRA TECHNOLOGIES;13100;AIX EN PROVENCE;  2;2020-04-29;2020-04-29
CHRONOPOST MARSEILLE NORD;13700;MARIGNANE; 19;2021-10-12;2021-11-04
CHRONOPOST HUB MARSEILLE ;13729;MARIGNANE;  1;2021-10-08;2021-10-08
CHRONOPOST  CAEN;14790;MOUEN; 15;2019-06-18;2019-06-18
COLISERVICE TPS SARL;15100;ST FLOUR;  1;2021-02-09;2021-02-09
CHRONOPOST SAINTES;17810;SAINT GEORGES DES COTEAUX;  6;2019-05-29;2021-04-09
CHRONOPOST BOURGES;18000;BOURGES ;  5;2019-06-21;2021-01-28
AGENCE CHRONOPOST CHENOVE;21300;CHENOVE;  2;2021-09-15;2021-09-15
CHRONOPOST DIJON;21300;CHENOVE FRANCE;  6;2019-06-18;2021-06-28
VERGT FRANC JEAN PHILIPPE;24100;CREYSSE;  1;2021-05-21;2021-05-21
RCT COMMAGNAC;24660;COULOUNIEIX CHAMIERS;  1;2021-05-20;2021-05-20
CHRONOPOST BESANCON;25320;CHEMAUDIN;  1;2020-07-02;2020-07-02
CHRONOPOST VALENCE;26800;PORTES LES VALENCE;  4;2020-11-17;2021-09-13
CHRONOPOST CHARTRES;28630;GELLAINVILLE;  2;2020-05-29;2021-09-15
CHRONOPOST QUIMPER;29170;SAINT EVARZEC;  4;2019-10-08;2019-10-08
CHRONOPOST BREST;29490;GUIPAVAS;  2;2021-07-29;2021-08-06
AGENCE CHRONOPOST NIMES;30000;NIMES;  1;2019-09-02;2019-09-02
AGENCE DE NIMES;30000;NIMES;  5;2019-09-20;2019-09-20
CHRONOPOST NIMES;30000;NIMES;  2;2021-01-25;2021-01-27
CHRONOPOST TOULOUSE;31200;TOULOUSE; 25;2021-01-27;2021-10-14
CHRONOPOST TOULOUSE ;31200;TOULOUSE; 16;2021-10-12;2021-10-12
CHRONOPOST TOULOUSE SUPPLETIF;31200;TOULOUSE;  6;2020-10-08;2020-10-08
AGENCE CHRONOPOST BORDEAUX NORD ;33300;BORDEAUX; 10;2020-03-10;2021-10-07
CHRONOPOST BORDEAUX NORD;33300;BORDEAUX; 20;2020-02-27;2021-05-03
