Qte;Donnee;Valeur;DateMvt;DateSurv;Reference;Designation;NumSerie;Stock;Transport;Societe;TagIS;Motif
1;Dossier;2110281024;N/A;2021-11-04;;;;;;;;GMS MAGNETIK Commande de matériel hors catalogue
1;Dossier;2111040455;N/A;2021-11-04;;;;;;;;FCA Switch Marseille Nord
1;Dossier;2111040476;N/A;2021-11-04;;;;;;;;FCA CHRONOCITY PARIS LECOURBE Déstockage accessoire - Lecourbe
1;Dossier;2111030476;N/A;2021-11-03;;;;;;;;imprimante C11 Marseille Nord       
1;Livraison;ES021100003;N/A;2021-10-26;;;;;;;;20 multiprises FDE BDCCHR2021000293 - DYADEM     
1;Livraison;ES021100004;N/A;2021-10-26;;;;;;;;30 cordons alim 5M FDE BDCCHR2021000292 - EMMETTCOMPAGNIE   
1;Dossier;2110010219;N/A;2021-10-12;;;;;;;;PCT Remplacement PC portable Alturing pour STEPHANE VIDAL
1;Dossier;2110010239;N/A;2021-10-12;;;;;;;;PCT Remplacement PC portable Alturing pour LIONEL NKANGA
1;Dossier;2110070637;N/A;2021-10-12;;;;;;;;FCA Déstockage PC Linux - Extension de Strasbourg
1;Dossier;2110110447;N/A;2021-10-12;;;;;;;;LFS TOULOUSE CHAPITRE Urgent - Déstockage borne WIFI
1;Livraison;ES021080003;N/A;2021-10-05;;;;;;;;7 serveurs DELL PROJETS HUB 00003444 - DELLSAS   
1;Livraison;ES021100001;N/A;2021-10-05;;;;;;;;6 imp Lexmark Coli 1003202201 - SCC    
1;Dossier;2109210937;N/A;2021-09-22;;;;;;;;LFS Toulouse Chapitre - Destockage et production des imprimantes C11
1;Dossier;2109200461;N/A;2021-09-20;;;;;;;;TSI Dossier chapeau Argenteuil _ Déstockage sur palette des équipements relatif à l'agence d'Argenteuil _ Projet Agence Argenteuil
1;Dossier;2109200768;N/A;2021-09-20;;;;;;;;LFS TOULOUSE CHAPITRE - Expédition groupée des équipements
1;Livraison;IS021070005;N/A;2021-08-03;;;;;;;;lots de 10 cables bleus 2m 00003412 - DYADEM  
1;Livraison;IS021080000;N/A;2021-08-03;;;;;;;;100 jarretieres optiques 00003412 - DYADEM     
1;Livraison;ES021040004;N/A;2021-04-14;;;;;;;;690 UC projets 00109829 - LENOVOSAS     
1;Livraison;ES020090002;N/A;2021-02-22;;;;;;;;46 écrans COLI        
1;Livraison;ES020040001;N/A;2021-01-15;;;;;;;;00002976 - CEMI 50 CHR63NP1HX LECTEUR CAB XENON 1952G USB 
1;Livraison;ES020090016;N/A;2020-09-24;;;;;;;;Bundle LYM
1;Dossier;2111030477;2021-11-04;2021-11-03;CHR10RF1GH;UC HP PRODESK 600 G4 i5 16GB 256SSD PC FREEDOS;CZC85184LF;CHRONOPOST FIL DE L'EAU;XP415739955FR  XP415739964FR;CHRONOPOST MARSEILLE NORD;TE2110040029;GMS MARSEILLE NORD Demande de poste PMC LINUX
1;Dossier;2111030477;2021-11-04;2021-11-03;CHR25RF1GY;ECRAN 22'' MULTIMARQUE;HZ221DPBREA91;CHRONOPOST FIL DE L'EAU;XP415739955FR  XP415739964FR;CHRONOPOST MARSEILLE NORD;TE2109240007;GMS MARSEILLE NORD Demande de poste PMC LINUX
1;Dossier;2111030477;2021-11-04;2021-11-03;CHR58NF1ET;BARRE DE SON HP LCD;;CHRONOPOST FIL DE L'EAU;XP415739955FR  XP415739964FR;CHRONOPOST MARSEILLE NORD;TE1709050786;GMS MARSEILLE NORD Demande de poste PMC LINUX
1;Dossier;2111030477;2021-11-04;2021-11-03;CHR70NF0O7;RALLONGE USB2 A-A MALE-FEMELLE 5M;;CHRONOPOST FIL DE L'EAU;XP415739955FR  XP415739964FR;CHRONOPOST MARSEILLE NORD;TE1906280025;GMS MARSEILLE NORD Demande de poste PMC LINUX
1;Dossier;2111030477;2021-11-04;2021-11-03;CHR76NF1HG;Câble DisplayPort mâle/mâle 3M;;CHRONOPOST FIL DE L'EAU;XP415739955FR  XP415739964FR;CHRONOPOST MARSEILLE NORD;TE1912060563;GMS MARSEILLE NORD Demande de poste PMC LINUX
1;Dossier;2111030477;2021-11-04;2021-11-03;CHR77NF06D;CABLE ALIMENTATION SECTEUR NOIR DE 5M;;CHRONOPOST FIL DE L'EAU;XP415739955FR  XP415739964FR;CHRONOPOST MARSEILLE NORD;TE2107270075;GMS MARSEILLE NORD Demande de poste PMC LINUX
1;Dossier;2111030477;2021-11-04;2021-11-03;CHR92NF012;BLOC MULTIPRISES 6 PRISES + IN CABLE 1,5 METRES;;CHRONOPOST FIL DE L'EAU;XP415739955FR  XP415739964FR;CHRONOPOST MARSEILLE NORD;TE2107090059;GMS MARSEILLE NORD Demande de poste PMC LINUX
1;Dossier;2111020242;2021-11-04;2021-11-02;CHR10RF1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE;CZC7318Z0L;CHRONOPOST FIL DE L'EAU;XP415384501FR;CHRONOPOST DAX ;TE2104200032;DAX Unité centrale seule d'un poste PMC
1;Dossier;2110250201;2021-11-03;2021-11-02;CHR77NP06D;CABLE ALIMENTATION SECTEUR NOIR DE 5M;;CHRONOPOST PROJETS INFRASTRUCTURE;XP414008654FR;CHRONOCITY PARIS LECOURBE;TE1901040594;FCA CHRONOCITY PARIS LECOURBE Production et déstockage d'un serveur pour ChronoCity Lecourbe
1;Dossier;2111020692;2021-11-03;2021-11-02;CHR61NF1JH;SCANNER DE DOCUMENTS PANASONIC KV S1058Y U;H3218VH1315;CHRONOPOST FIL DE L'EAU;XP414155799FR;TAE LOGISTIQUE;TE2109150456;BORDEAUX MERIGNAC Nouveau scanner (numérisation C11) petit volume pour Deloc
2;Dossier;2110150577;2021-11-03;2021-10-26;CHR10RP1ER;UC HP PRODESK 600 G3 SMALL FORM FACTOR PC WIN 10 + CARTE WIFI RECYCLE;CZC7388NK2;CHRONOPOST PROJETS INFRASTRUCTURE;XP414160649FR;CHRONOPOST ANNECY;TE2104280019;FRR ANNECY Demande d'un nouveau PMC TRIG pour Deloc'
2;Dossier;2110150577;2021-11-03;2021-10-26;CHR25NP1ES;ECRAN 22'' HP;CNC8420X4C;CHRONOPOST PROJETS INFRASTRUCTURE;XP414160649FR;CHRONOPOST ANNECY;TE1902220226;FRR ANNECY Demande d'un nouveau PMC TRIG pour Deloc'
2;Dossier;2110150577;2021-11-03;2021-10-26;CHR58NP1ET;BARRE DE SON HP LCD;;CHRONOPOST PROJETS INFRASTRUCTURE;XP414160649FR;CHRONOPOST ANNECY;TE1710030362;FRR ANNECY Demande d'un nouveau PMC TRIG pour Deloc'
2;Dossier;2110150577;2021-11-03;2021-10-26;CHR70NP0O7;RALLONGE USB2 A-A MALE-FEMELLE 5M;;CHRONOPOST PROJETS INFRASTRUCTURE;XP414160649FR;CHRONOPOST ANNECY;TE1807300465;FRR ANNECY Demande d'un nouveau PMC TRIG pour Deloc'
2;Dossier;2110150577;2021-11-03;2021-10-26;CHR76NP1HG;Câble DisplayPort mâle/mâle 3M;;CHRONOPOST PROJETS INFRASTRUCTURE;XP414160649FR;CHRONOPOST ANNECY;TE1912060716;FRR ANNECY Demande d'un nouveau PMC TRIG pour Deloc'
2;Dossier;2110150577;2021-11-03;2021-10-26;CHR77NP06D;CABLE ALIMENTATION SECTEUR NOIR DE 5M;;CHRONOPOST PROJETS INFRASTRUCTURE;XP414160649FR;CHRONOPOST ANNECY;TE1901040593;FRR ANNECY Demande d'un nouveau PMC TRIG pour Deloc'
2;Dossier;2110150577;2021-11-03;2021-10-26;CHR92NP012;BLOC MULTIPRISES 6 PRISES + IN CABLE 1,5 METRES;;CHRONOPOST PROJETS INFRASTRUCTURE;XP414160649FR;CHRONOPOST ANNECY;TE2106300377;FRR ANNECY Demande d'un nouveau PMC TRIG pour Deloc'
1;Dossier;2110281023;2021-11-02;2021-10-28;CHR41RF1E4;Borne Wifi CISCO ref AP1852E;KWC210300C3;CHRONOPOST INCIDENT;XP413075122FR;CHRONOPOST MAGNETIK - FRAIS COMMUNS PARIS;TE2106030030;GMS MAGNETIK Commande de matériel hors catalogue
