GLPI;DateBL;Societe;Qte;Reference;Designation;NumSerie;Transport;TagIS;NumeroOFL
2111050753;2021-11-05;CHRONOPOST VALENCIENNES;1;CHR34NF18P;PC43D LCD USB/ETHERNET ( ZPL);152C2120245;XP416928465FR;TE2107060193;002021110128
2111050753;2021-11-05;CHRONOPOST VALENCIENNES;1;CHR41NF0BQ;MODULE ETHERNET POUR PC43;;XP416928465FR;TE2107150092;002021110128
2111050702;2021-11-05;FRANCE AIR;1;CHR34RS18Q;PC43 LCD USB/SERIE/ETHERNET ( ZPL) RECYCLE;200C1920017;XP416888562FR;TE2111040016;002021110129
2111050548;2021-11-05;HANANI;1;CLP34RS1AH;RECYCLE IMPRIMANTE DATAMAX E-4204 MARK III;925130626;XP416764727FR;TE2106240326;002021110121
2111050542;2021-11-05;CHRONOPOST CLERMONT FERRAND;1;CHR32RF1G3;IMP LEXMARK MS826DE RECYCLE;40648180108RY;XP416795843FR;TE2104270186;002021110119
2111050542;2021-11-05;CHRONOPOST CLERMONT FERRAND;1;CHR39NF1G6;MS826DE BAC SUPPLEMENTAIRE;;XP416795843FR;TE2109130126;002021110119
2111050487;2021-11-05;AUDIKA;1;CHR34RS18Q;PC43 LCD USB/SERIE/ETHERNET ( ZPL) RECYCLE;017C1820128;XP416767051FR;TE2111040010;002021110120
2111050479;2021-11-05;BMA SERIGRAPHIE;1;CHR34RS18Q;PC43 LCD USB/SERIE/ETHERNET ( ZPL) RECYCLE;066C1720153;XP416608571FR;TE2111040013;002021110111
2111050072;2021-11-05;CHRONOPOST LE HAVRE;1;CHR32RF1G3;IMP LEXMARK MS826DE RECYCLE;S406494401B138;XP416799831FR;TE2109030159;002021110108
2111040944;2021-11-05;CULIN NATHALIE;1;CLP34RS1AH;RECYCLE IMPRIMANTE DATAMAX E-4204 MARK III;60368663;XP416601468FR;TE2106240311;002021110106
2111040815;2021-11-05;CHRONOPOST DIRECTION MANAGEMENT OP DELIFRESH;1;CHR11NF1JL;PORTABLE LENOVO T14 G1 touch i5 16 GB 256 SSD;SPF34G3DA;XP416889735FR;TE2109150135;002021110114
2111040815;2021-11-05;CHRONOPOST DIRECTION MANAGEMENT OP DELIFRESH;1;CHR53NF1GF;DOCKING USB-C OFFICE 3 X 4K - EU;;XP416889735FR;TE2103100135;002021110114
2111040815;2021-11-05;CHRONOPOST DIRECTION MANAGEMENT OP DELIFRESH;1;CHR56NF1BI;SACOCHE PORT HANOI CLAMSHELL 15,6";;XP416889735FR;TE2109230041;002021110114
2111040815;2021-11-05;CHRONOPOST DIRECTION MANAGEMENT OP DELIFRESH;1;CHR78NF1GT;CABLE DE SECURITE MOBILIS;;XP416889735FR;TE2105250142;002021110114
2111040768;2021-11-05;CHRONOPOST NANCY;1;CHR32RF1G3;IMP LEXMARK MS826DE RECYCLE;S406402001DR4Z;XP416928709FR  XP416928712FR;TE2108310049;002021110115
2111040768;2021-11-05;CHRONOPOST NANCY;1;CHR39RF1G6;BAC SUPPLEMENTAIRE POUR MS826DE;;XP416928709FR  XP416928712FR;TE2107190017;002021110115
2111040715;2021-11-05;CHRONOPOST BORDEAUX NORD;2;CHR92NF012;BLOC MULTIPRISES 6 PRISES + IN CABLE 1,5 METRES;;XP416797036FR;TE2107090060;002021110113
2111040698;2021-11-05;CHRONOPOST ORLEANS (ANCIEN HUB BIO);1;CHR5BNF1H2;Casque Plantronics 5220 en USB-A;;XP416797773FR;TE2105180043;002021110112
2111040673;2021-11-05;CHRONOPOST BORDEAUX NORD;1;CHR10RF1DF;UC DELL OPTIPLEX CHR 3040SFF;HTV2XD2;l&eacute;TE2104130058;002021110097
2111040673;2021-11-05;CHRONOPOST BORDEAUX NORD;1;CHR25NF1JK;ECRAN LENOVO 22'' ref T22i-20;SV9081MPZ;l&eacute;TE2109090093;002021110097
2111040476;2021-11-05;CHRONOCITY PARIS LECOURBE;1;CHR73NP0H5;CORDON SURMOULE BLEU RJ45  FTP CAT6E 4P 100 OHMS DE 1M;;XP416390928FR;TE1507060476;002021110085
2111040476;2021-11-05;CHRONOCITY PARIS LECOURBE;3;CHR73NP1JT;Lot de 10 Cordons Surmoules Droit RJ45 FTP CAT.6 - 250 Mhz 2M;;XP416390928FR;TE2107200227;002021110085
2111040476;2021-11-05;CHRONOCITY PARIS LECOURBE;1;CHR73NP1JU;Lot de 10 Cordons Surmoules droit rouge RJ45 FTP CAT.6 100 OHMS 250 Mhz 2M;;XP416390928FR;TE2107200252;002021110085
2111040476;2021-11-05;CHRONOCITY PARIS LECOURBE;1;CHR91NP1B3;LOT 50 VIS ECROUS ENJOLIVEURS POUR RACKAGE;;XP416390928FR;TE1807270205;002021110085
2111040476;2021-11-05;CHRONOCITY PARIS LECOURBE;1;CHR99NP19B;ROULEAU VELCRO DE 5M - LARGEUR DE 2 CM NOIR;;XP416390928FR;TE2008170405;002021110085
2111040476;2021-11-05;CHRONOCITY PARIS LECOURBE;7;CHR99NP1B5;PASSE-CABLES PEIGNE;;XP416390928FR;TE1808080547;002021110085
2111040455;2021-11-05;ALTURING ;1;CHR41NP199;2960-X OPTIONAL CISCO FLEXSTACK;;XP416392265FR  XP416392288FR;TE2008110118;002021110083
2111040455;2021-11-05;ALTURING ;1;CHR43NP1AU;SWITCH CATALYST 2960-X 24PS-L LAN Base;SFOC2338T44F;XP416392265FR  XP416392288FR;TE1912180127;002021110083
2111040177;2021-11-05;CHRONOFRESH SERVICE CLIENT CHRONOFRESH;1;CHR11RF1D7;LENOVO PORTABLE T460 RECYCLE;PC0H06PU;XP416928978FR;TE2110010039;002021110081
2111040177;2021-11-05;CHRONOFRESH SERVICE CLIENT CHRONOFRESH;1;CHR56NF1BI;SACOCHE PORT HANOI CLAMSHELL 15,6";;XP416928978FR;TE2108170004;002021110081
2111040177;2021-11-05;CHRONOFRESH SERVICE CLIENT CHRONOFRESH;1;CHR78NF1GT;CABLE DE SECURITE MOBILIS;;XP416928978FR;TE2105250138;002021110081
2111031060;2021-11-05;CHRONOFRESH ARGENTEUIL CHRONOFRESH;1;CHR25NF1JK;ECRAN LENOVO 22'' ref T22i-20;SV9081MPR;XP416801138FR;TE2109090060;002021110080
2111031059;2021-11-05;CHRONOFRESH ARGENTEUIL CHRONOFRESH;1;CHR25NF1JK;ECRAN LENOVO 22'' ref T22i-20;SV9081MPK;XP416801994FR;TE2109090059;002021110079
2111031058;2021-11-05;CHRONOFRESH ARGENTEUIL CHRONOFRESH;1;CHR25NF1JK;ECRAN LENOVO 22'' ref T22i-20;SV9081MPH;XP416803023FR;TE2109090058;002021110078
2111031000;2021-11-05;CHRONOPOST GUADELOUPE POINTE A PITRE;1;CHR10RF1DF;UC DELL OPTIPLEX CHR 3040SFF;HYF44J2;XF046621862FR  XF046621876FR;TE2104120065;002021110077
2111031000;2021-11-05;CHRONOPOST GUADELOUPE POINTE A PITRE;1;CHR25NF1JK;ECRAN LENOVO 22'' ref T22i-20;SV9081MPV;XF046621862FR  XF046621876FR;TE2109090092;002021110077
