Recherche de l'hôte...
Connexion à l'hôte...
Authentification...
Utilisation du nom d'utilisateur "gmetais".
Authentification avec le mot de passe pré-entré.
Authentifié.
Démarrage de la session...
Session démarrée.
Session active : [1] gmetais@rebond.tlt
Recherche de l'hôte...
Connexion à l'hôte...
Authentification...
Utilisation du nom d'utilisateur "gmetais".
Authentification avec le mot de passe pré-entré.
Authentifié.
Démarrage de la session...
Session démarrée.
..\StatsIS\2017-11-30\CHROMEBOOK.csv |           1 KB |    0,0 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHROMEBOOK.htm |          578 B |   37,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHROMEBOOK.png |          13 KB |  934,0 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHROMEBOOK.tab |           1 KB |  492,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHROMEBOOK.txt |           94 B |  495,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRPORT.csv |           3 KB |  394,7 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRPORT.htm |          563 B |  406,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRPORT.png |          11 KB |  487,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRPORT.tab |           1 KB |  509,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRPORT.txt |           97 B |  511,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRECOND.csv |           2 KB |  442,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRECOND.htm |          573 B |  450,0 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRECOND.png |          12 KB |  503,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRECOND.tab |           1 KB |  517,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRECOND.txt |          115 B |  518,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRP.csv |           3 KB |  476,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRP.htm |          553 B |  481,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRP.png |           9 KB |  497,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRP.tab |           1 KB |  508,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRRP.txt |          142 B |  455,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRUC.csv |           2 KB |  474,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRUC.htm |          553 B |  478,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRUC.png |          11 KB |  502,8 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRUC.tab |           1 KB |  510,5 KB/s | binary | 100%
..\StatsIS\2017-11-30\CHRUC.txt |          158 B |  464,0 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLGV.csv |           3 KB |  482,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLGV.htm |          553 B |  486,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLGV.png |          10 KB |  505,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLGV.tab |           1 KB |  513,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLGV.TXT |          145 B |  473,8 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLMET.csv |           3 KB |  490,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLMET.htm |          558 B |  457,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLMET.png |          14 KB |  524,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLMET.tab |           1 KB |  497,5 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLMET.txt |           86 B |  497,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPORT.csv |           2 KB |  510,7 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPORT.htm |          563 B |  480,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPORT.png |          11 KB |  497,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPORT.tab |           1 KB |  502,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPORT.txt |          255 B |  474,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPV.csv |           3 KB |  487,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPV.htm |          553 B |  489,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPV.png |          11 KB |  501,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPV.tab |           1 KB |  506,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLPV.txt |           95 B |  482,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLRECOND.csv |           2 KB |  491,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLRECOND.htm |          573 B |  493,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLRECOND.png |          10 KB |  502,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLRECOND.tab |           1 KB |  482,5 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLRECOND.txt |           74 B |  482,7 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLUC.csv |           2 KB |  470,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLUC.htm |          553 B |  471,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLUC.png |          12 KB |  485,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLUC.tab |           1 KB |  469,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\COLUC.txt |           55 B |  469,7 KB/s | binary | 100%
..\StatsIS\2017-11-30\FINGERPRINT.csv |           4 KB |  461,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\FINGERPRINT.htm |          583 B |  462,8 KB/s | binary | 100%
..\StatsIS\2017-11-30\FINGERPRINT.png |           9 KB |  467,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\FINGERPRINT.tab |           1 KB |  472,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\FINGERPRINT.txt |          118 B |  456,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\index.html |           5 KB |  467,8 KB/s | binary | 100%
..\StatsIS\2017-11-30\is-seuil.csv |          746 B |  452,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\PFMA.csv |           3 KB |  459,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\PFMA.htm |          548 B |  445,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\PFMA.png |          14 KB |  476,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\PFMA.tab |           1 KB |  464,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\PFMA.txt |          177 B |  464,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\PSMM3.csv |           2 KB |  455,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\PSMM3.htm |          553 B |  443,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\PSMM3.png |          10 KB |  462,7 KB/s | binary | 100%
..\StatsIS\2017-11-30\PSMM3.tab |           1 KB |  451,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\PSMM3.txt |          125 B |  451,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\SERVEURS.csv |           2 KB |  443,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\SERVEURS.htm |          568 B |  444,6 KB/s | binary | 100%
..\StatsIS\2017-11-30\SERVEURS.png |          11 KB |  465,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\SERVEURS.tab |           1 KB |  455,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\serveurs.txt |           85 B |  455,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\UCSHIP.csv |           2 KB |  447,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\UCSHIP.htm |          558 B |  448,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\UCSHIP.png |           8 KB |  463,7 KB/s | binary | 100%
..\StatsIS\2017-11-30\UCSHIP.tab |           1 KB |  453,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\UCSHIP.txt |          121 B |  453,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\WIFICISCO.csv |           3 KB |  448,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\WIFICISCO.htm |          573 B |  449,2 KB/s | binary | 100%
..\StatsIS\2017-11-30\WIFICISCO.png |          12 KB |  457,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\WIFICISCO.tab |           1 KB |  459,9 KB/s | binary | 100%
..\StatsIS\2017-11-30\WIFICisco.txt |          108 B |  460,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\ZPL.csv |           3 KB |  454,4 KB/s | binary | 100%
..\StatsIS\2017-11-30\ZPL.htm |          543 B |  455,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\ZPL.png |          15 KB |  467,1 KB/s | binary | 100%
..\StatsIS\2017-11-30\ZPL.tab |           1 KB |  469,3 KB/s | binary | 100%
..\StatsIS\2017-11-30\ZPL.txt |          115 B |  458,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\C11.bak.csv |           1 KB |    0,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\C11.csv |           1 KB |   63,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\C11.htm |          543 B |   48,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\C11.png |          13 KB |  323,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\C11.tab |           1 KB |  344,8 KB/s | binary | 100%
