Repartition des dossiers :;271
Incident;104
Demande;167

Incidents par type de site;104
ACP;18
CLIENT;60
DOT;3
PFC;10
SIEGE/SAV;9
SPECIFIQUE;4

Incidents par type d'activité;104
Expeditor;60
Imprimante;5
UC Fixe;7
UC Portable;9
·Autres;23

Fil de l'eau PC par type de site;37
ACP;3
ADM;31
PFC;3

Incidents par catégorie;104
APPLICATION > COLISHIP;1
APPLICATION > COLISHIP > PREPARATION COLIS;3
APPLICATION > EXPEDITOR I-NET > CONNEXION / TRANSFERT;1
APPLICATION > EXPEDITOR I-NET > PREPARATION COLIS;1
APPLICATION > IPS;1
APPLICATION > SURF NG FACTEO;3
APPLICATION > VIGIK CLP (LAPOSTE);1
APPLICATION > WEB SERVICE > SERVICE WEB ETIQUETAGE;1
MATERIEL > IMPRIMANTE THERMIQUE > DTMX CLASS E;51
MATERIEL > IMPRIMANTE THERMIQUE > DTMX CLASS M;3
POSTE DE TRAVAIL > APPLICATION > MS OFFICE 365 > ONEDRIVE;1
POSTE DE TRAVAIL > APPLICATION > MS OFFICE 365 > OUTLOOK;1
POSTE DE TRAVAIL > APPLICATION > PACK MS OFFICE;1
POSTE DE TRAVAIL > IMPRIMANTE BUREAUTIQUE > HP;2
POSTE DE TRAVAIL > IMPRIMANTE BUREAUTIQUE > KYOCERA;2
POSTE DE TRAVAIL > IMPRIMANTE THERMIQUE > DTMX CLASS I;1
POSTE DE TRAVAIL > PC FIXE BUREAUTIQUE;7
POSTE DE TRAVAIL > PORTABLE BUREAUTIQUE;7
POSTE DE TRAVAIL > PSM > DOUCHETTE - FLASHEUR;1
POSTE DE TRAVAIL > SMARTPHONE > ANDROID;1
POSTE DE TRAVAIL > TABLETTE;2
RESEAUX > ACCES RESEAUX;1
RESEAUX > BASE WIFI / RADIO;3
RESEAUX > ROUTEUR;2
RESEAUX > SWITCH;1
SERVICES GENERAUX > BORNE VIGIK;3
SYSTEMES > SERVEUR DISTRIBUE LINUX;2

